subj,subj_head,obj,obj_head,root,sent
you,need,help,need,reference," If you need help ﬁguring out a speciﬁc name of a component, gage, or indicator, reference the following topics:  (cid:127) Seats and Restraint Systems in Section 1  Features and Controls in Section 2  Instrument Panel Overview in Section 3  (cid:127) Climate Controls in Section 3 (cid:127) Warning Lights, Gages, and Indicators in Section 3 (cid:127) Audio System(s) in Section 3 (cid:127) Engine Compartment Overview in Section 5  iv  (cid:127) (cid:127) These are some examples of symbols that may be found on the vehicle:  v  ✍ NOTES  vi  Section 1  Seats and Restraint Systems  Front Seats ......................................................1-2 Power Seats ..................................................1-2 Power Lumbar ...............................................1-2 Heated Seats .................................................1-3 Power Reclining Seatbacks ..............................1-4 Head Restraints .............................................1-5 Rear Seats .......................................................1-5 Rear Seat Operation .......................................1-5 Safety Belts .....................................................1-8 Safety Belts: They Are for Everyone .................1-8 Questions and Answers About Safety Belts ......1-13 How to Wear Safety Belts Properly .................1-14 Driver Position ..............................................1-14 Safety Belt Use During Pregnancy ..................1-20 Right Front Passenger Position .......................1-21 Rear Seat Passengers ..................................1-21 Rear Safety Belt Comfort Guides for  Children and Small Adults ..........................1-24 Safety Belt Extender .....................................1-26 Child Restraints .............................................1-27 Older Children ..............................................1-27 Infants and Young Children ............................1-29 Child Restraint Systems .................................1-33 Where to Put the Restraint .............................1-36  Top Strap ....................................................1-37"
you,need,name,ﬁgure,reference," If you need help ﬁguring out a speciﬁc name of a component, gage, or indicator, reference the following topics:  (cid:127) Seats and Restraint Systems in Section 1  Features and Controls in Section 2  Instrument Panel Overview in Section 3  (cid:127) Climate Controls in Section 3 (cid:127) Warning Lights, Gages, and Indicators in Section 3 (cid:127) Audio System(s) in Section 3 (cid:127) Engine Compartment Overview in Section 5  iv  (cid:127) (cid:127) These are some examples of symbols that may be found on the vehicle:  v  ✍ NOTES  vi  Section 1  Seats and Restraint Systems  Front Seats ......................................................1-2 Power Seats ..................................................1-2 Power Lumbar ...............................................1-2 Heated Seats .................................................1-3 Power Reclining Seatbacks ..............................1-4 Head Restraints .............................................1-5 Rear Seats .......................................................1-5 Rear Seat Operation .......................................1-5 Safety Belts .....................................................1-8 Safety Belts: They Are for Everyone .................1-8 Questions and Answers About Safety Belts ......1-13 How to Wear Safety Belts Properly .................1-14 Driver Position ..............................................1-14 Safety Belt Use During Pregnancy ..................1-20 Right Front Passenger Position .......................1-21 Rear Seat Passengers ..................................1-21 Rear Safety Belt Comfort Guides for  Children and Small Adults ..........................1-24 Safety Belt Extender .....................................1-26 Child Restraints .............................................1-27 Older Children ..............................................1-27 Infants and Young Children ............................1-29 Child Restraint Systems .................................1-33 Where to Put the Restraint .............................1-36  Top Strap ....................................................1-37"
you,need,topic,reference,reference," If you need help ﬁguring out a speciﬁc name of a component, gage, or indicator, reference the following topics:  (cid:127) Seats and Restraint Systems in Section 1  Features and Controls in Section 2  Instrument Panel Overview in Section 3  (cid:127) Climate Controls in Section 3 (cid:127) Warning Lights, Gages, and Indicators in Section 3 (cid:127) Audio System(s) in Section 3 (cid:127) Engine Compartment Overview in Section 5  iv  (cid:127) (cid:127) These are some examples of symbols that may be found on the vehicle:  v  ✍ NOTES  vi  Section 1  Seats and Restraint Systems  Front Seats ......................................................1-2 Power Seats ..................................................1-2 Power Lumbar ...............................................1-2 Heated Seats .................................................1-3 Power Reclining Seatbacks ..............................1-4 Head Restraints .............................................1-5 Rear Seats .......................................................1-5 Rear Seat Operation .......................................1-5 Safety Belts .....................................................1-8 Safety Belts: They Are for Everyone .................1-8 Questions and Answers About Safety Belts ......1-13 How to Wear Safety Belts Properly .................1-14 Driver Position ..............................................1-14 Safety Belt Use During Pregnancy ..................1-20 Right Front Passenger Position .......................1-21 Rear Seat Passengers ..................................1-21 Rear Safety Belt Comfort Guides for  Children and Small Adults ..........................1-24 Safety Belt Extender .....................................1-26 Child Restraints .............................................1-27 Older Children ..............................................1-27 Infants and Young Children ............................1-29 Child Restraint Systems .................................1-33 Where to Put the Restraint .............................1-36  Top Strap ....................................................1-37"
you,need,cid:127,reference,reference," If you need help ﬁguring out a speciﬁc name of a component, gage, or indicator, reference the following topics:  (cid:127) Seats and Restraint Systems in Section 1  Features and Controls in Section 2  Instrument Panel Overview in Section 3  (cid:127) Climate Controls in Section 3 (cid:127) Warning Lights, Gages, and Indicators in Section 3 (cid:127) Audio System(s) in Section 3 (cid:127) Engine Compartment Overview in Section 5  iv  (cid:127) (cid:127) These are some examples of symbols that may be found on the vehicle:  v  ✍ NOTES  vi  Section 1  Seats and Restraint Systems  Front Seats ......................................................1-2 Power Seats ..................................................1-2 Power Lumbar ...............................................1-2 Heated Seats .................................................1-3 Power Reclining Seatbacks ..............................1-4 Head Restraints .............................................1-5 Rear Seats .......................................................1-5 Rear Seat Operation .......................................1-5 Safety Belts .....................................................1-8 Safety Belts: They Are for Everyone .................1-8 Questions and Answers About Safety Belts ......1-13 How to Wear Safety Belts Properly .................1-14 Driver Position ..............................................1-14 Safety Belt Use During Pregnancy ..................1-20 Right Front Passenger Position .......................1-21 Rear Seat Passengers ..................................1-21 Rear Safety Belt Comfort Guides for  Children and Small Adults ..........................1-24 Safety Belt Extender .....................................1-26 Child Restraints .............................................1-27 Older Children ..............................................1-27 Infants and Young Children ............................1-29 Child Restraint Systems .................................1-33 Where to Put the Restraint .............................1-36  Top Strap ....................................................1-37"
you,need,overview,reference,reference," If you need help ﬁguring out a speciﬁc name of a component, gage, or indicator, reference the following topics:  (cid:127) Seats and Restraint Systems in Section 1  Features and Controls in Section 2  Instrument Panel Overview in Section 3  (cid:127) Climate Controls in Section 3 (cid:127) Warning Lights, Gages, and Indicators in Section 3 (cid:127) Audio System(s) in Section 3 (cid:127) Engine Compartment Overview in Section 5  iv  (cid:127) (cid:127) These are some examples of symbols that may be found on the vehicle:  v  ✍ NOTES  vi  Section 1  Seats and Restraint Systems  Front Seats ......................................................1-2 Power Seats ..................................................1-2 Power Lumbar ...............................................1-2 Heated Seats .................................................1-3 Power Reclining Seatbacks ..............................1-4 Head Restraints .............................................1-5 Rear Seats .......................................................1-5 Rear Seat Operation .......................................1-5 Safety Belts .....................................................1-8 Safety Belts: They Are for Everyone .................1-8 Questions and Answers About Safety Belts ......1-13 How to Wear Safety Belts Properly .................1-14 Driver Position ..............................................1-14 Safety Belt Use During Pregnancy ..................1-20 Right Front Passenger Position .......................1-21 Rear Seat Passengers ..................................1-21 Rear Safety Belt Comfort Guides for  Children and Small Adults ..........................1-24 Safety Belt Extender .....................................1-26 Child Restraints .............................................1-27 Older Children ..............................................1-27 Infants and Young Children ............................1-29 Child Restraint Systems .................................1-33 Where to Put the Restraint .............................1-36  Top Strap ....................................................1-37"
you,need,iv,reference,reference," If you need help ﬁguring out a speciﬁc name of a component, gage, or indicator, reference the following topics:  (cid:127) Seats and Restraint Systems in Section 1  Features and Controls in Section 2  Instrument Panel Overview in Section 3  (cid:127) Climate Controls in Section 3 (cid:127) Warning Lights, Gages, and Indicators in Section 3 (cid:127) Audio System(s) in Section 3 (cid:127) Engine Compartment Overview in Section 5  iv  (cid:127) (cid:127) These are some examples of symbols that may be found on the vehicle:  v  ✍ NOTES  vi  Section 1  Seats and Restraint Systems  Front Seats ......................................................1-2 Power Seats ..................................................1-2 Power Lumbar ...............................................1-2 Heated Seats .................................................1-3 Power Reclining Seatbacks ..............................1-4 Head Restraints .............................................1-5 Rear Seats .......................................................1-5 Rear Seat Operation .......................................1-5 Safety Belts .....................................................1-8 Safety Belts: They Are for Everyone .................1-8 Questions and Answers About Safety Belts ......1-13 How to Wear Safety Belts Properly .................1-14 Driver Position ..............................................1-14 Safety Belt Use During Pregnancy ..................1-20 Right Front Passenger Position .......................1-21 Rear Seat Passengers ..................................1-21 Rear Safety Belt Comfort Guides for  Children and Small Adults ..........................1-24 Safety Belt Extender .....................................1-26 Child Restraints .............................................1-27 Older Children ..............................................1-27 Infants and Young Children ............................1-29 Child Restraint Systems .................................1-33 Where to Put the Restraint .............................1-36  Top Strap ....................................................1-37"
you,need,cid:127,reference,reference," If you need help ﬁguring out a speciﬁc name of a component, gage, or indicator, reference the following topics:  (cid:127) Seats and Restraint Systems in Section 1  Features and Controls in Section 2  Instrument Panel Overview in Section 3  (cid:127) Climate Controls in Section 3 (cid:127) Warning Lights, Gages, and Indicators in Section 3 (cid:127) Audio System(s) in Section 3 (cid:127) Engine Compartment Overview in Section 5  iv  (cid:127) (cid:127) These are some examples of symbols that may be found on the vehicle:  v  ✍ NOTES  vi  Section 1  Seats and Restraint Systems  Front Seats ......................................................1-2 Power Seats ..................................................1-2 Power Lumbar ...............................................1-2 Heated Seats .................................................1-3 Power Reclining Seatbacks ..............................1-4 Head Restraints .............................................1-5 Rear Seats .......................................................1-5 Rear Seat Operation .......................................1-5 Safety Belts .....................................................1-8 Safety Belts: They Are for Everyone .................1-8 Questions and Answers About Safety Belts ......1-13 How to Wear Safety Belts Properly .................1-14 Driver Position ..............................................1-14 Safety Belt Use During Pregnancy ..................1-20 Right Front Passenger Position .......................1-21 Rear Seat Passengers ..................................1-21 Rear Safety Belt Comfort Guides for  Children and Small Adults ..........................1-24 Safety Belt Extender .....................................1-26 Child Restraints .............................................1-27 Older Children ..............................................1-27 Infants and Young Children ............................1-29 Child Restraint Systems .................................1-33 Where to Put the Restraint .............................1-36  Top Strap ....................................................1-37"
that,find,v,reference,reference," If you need help ﬁguring out a speciﬁc name of a component, gage, or indicator, reference the following topics:  (cid:127) Seats and Restraint Systems in Section 1  Features and Controls in Section 2  Instrument Panel Overview in Section 3  (cid:127) Climate Controls in Section 3 (cid:127) Warning Lights, Gages, and Indicators in Section 3 (cid:127) Audio System(s) in Section 3 (cid:127) Engine Compartment Overview in Section 5  iv  (cid:127) (cid:127) These are some examples of symbols that may be found on the vehicle:  v  ✍ NOTES  vi  Section 1  Seats and Restraint Systems  Front Seats ......................................................1-2 Power Seats ..................................................1-2 Power Lumbar ...............................................1-2 Heated Seats .................................................1-3 Power Reclining Seatbacks ..............................1-4 Head Restraints .............................................1-5 Rear Seats .......................................................1-5 Rear Seat Operation .......................................1-5 Safety Belts .....................................................1-8 Safety Belts: They Are for Everyone .................1-8 Questions and Answers About Safety Belts ......1-13 How to Wear Safety Belts Properly .................1-14 Driver Position ..............................................1-14 Safety Belt Use During Pregnancy ..................1-20 Right Front Passenger Position .......................1-21 Rear Seat Passengers ..................................1-21 Rear Safety Belt Comfort Guides for  Children and Small Adults ..........................1-24 Safety Belt Extender .....................................1-26 Child Restraints .............................................1-27 Older Children ..............................................1-27 Infants and Young Children ............................1-29 Child Restraint Systems .................................1-33 Where to Put the Restraint .............................1-36  Top Strap ....................................................1-37"
that,find,note,reference,reference," If you need help ﬁguring out a speciﬁc name of a component, gage, or indicator, reference the following topics:  (cid:127) Seats and Restraint Systems in Section 1  Features and Controls in Section 2  Instrument Panel Overview in Section 3  (cid:127) Climate Controls in Section 3 (cid:127) Warning Lights, Gages, and Indicators in Section 3 (cid:127) Audio System(s) in Section 3 (cid:127) Engine Compartment Overview in Section 5  iv  (cid:127) (cid:127) These are some examples of symbols that may be found on the vehicle:  v  ✍ NOTES  vi  Section 1  Seats and Restraint Systems  Front Seats ......................................................1-2 Power Seats ..................................................1-2 Power Lumbar ...............................................1-2 Heated Seats .................................................1-3 Power Reclining Seatbacks ..............................1-4 Head Restraints .............................................1-5 Rear Seats .......................................................1-5 Rear Seat Operation .......................................1-5 Safety Belts .....................................................1-8 Safety Belts: They Are for Everyone .................1-8 Questions and Answers About Safety Belts ......1-13 How to Wear Safety Belts Properly .................1-14 Driver Position ..............................................1-14 Safety Belt Use During Pregnancy ..................1-20 Right Front Passenger Position .......................1-21 Rear Seat Passengers ..................................1-21 Rear Safety Belt Comfort Guides for  Children and Small Adults ..........................1-24 Safety Belt Extender .....................................1-26 Child Restraints .............................................1-27 Older Children ..............................................1-27 Infants and Young Children ............................1-29 Child Restraint Systems .................................1-33 Where to Put the Restraint .............................1-36  Top Strap ....................................................1-37"
that,find,vi,reference,reference," If you need help ﬁguring out a speciﬁc name of a component, gage, or indicator, reference the following topics:  (cid:127) Seats and Restraint Systems in Section 1  Features and Controls in Section 2  Instrument Panel Overview in Section 3  (cid:127) Climate Controls in Section 3 (cid:127) Warning Lights, Gages, and Indicators in Section 3 (cid:127) Audio System(s) in Section 3 (cid:127) Engine Compartment Overview in Section 5  iv  (cid:127) (cid:127) These are some examples of symbols that may be found on the vehicle:  v  ✍ NOTES  vi  Section 1  Seats and Restraint Systems  Front Seats ......................................................1-2 Power Seats ..................................................1-2 Power Lumbar ...............................................1-2 Heated Seats .................................................1-3 Power Reclining Seatbacks ..............................1-4 Head Restraints .............................................1-5 Rear Seats .......................................................1-5 Rear Seat Operation .......................................1-5 Safety Belts .....................................................1-8 Safety Belts: They Are for Everyone .................1-8 Questions and Answers About Safety Belts ......1-13 How to Wear Safety Belts Properly .................1-14 Driver Position ..............................................1-14 Safety Belt Use During Pregnancy ..................1-20 Right Front Passenger Position .......................1-21 Rear Seat Passengers ..................................1-21 Rear Safety Belt Comfort Guides for  Children and Small Adults ..........................1-24 Safety Belt Extender .....................................1-26 Child Restraints .............................................1-27 Older Children ..............................................1-27 Infants and Young Children ............................1-29 Child Restraint Systems .................................1-33 Where to Put the Restraint .............................1-36  Top Strap ....................................................1-37"
that,find,section,reference,reference," If you need help ﬁguring out a speciﬁc name of a component, gage, or indicator, reference the following topics:  (cid:127) Seats and Restraint Systems in Section 1  Features and Controls in Section 2  Instrument Panel Overview in Section 3  (cid:127) Climate Controls in Section 3 (cid:127) Warning Lights, Gages, and Indicators in Section 3 (cid:127) Audio System(s) in Section 3 (cid:127) Engine Compartment Overview in Section 5  iv  (cid:127) (cid:127) These are some examples of symbols that may be found on the vehicle:  v  ✍ NOTES  vi  Section 1  Seats and Restraint Systems  Front Seats ......................................................1-2 Power Seats ..................................................1-2 Power Lumbar ...............................................1-2 Heated Seats .................................................1-3 Power Reclining Seatbacks ..............................1-4 Head Restraints .............................................1-5 Rear Seats .......................................................1-5 Rear Seat Operation .......................................1-5 Safety Belts .....................................................1-8 Safety Belts: They Are for Everyone .................1-8 Questions and Answers About Safety Belts ......1-13 How to Wear Safety Belts Properly .................1-14 Driver Position ..............................................1-14 Safety Belt Use During Pregnancy ..................1-20 Right Front Passenger Position .......................1-21 Rear Seat Passengers ..................................1-21 Rear Safety Belt Comfort Guides for  Children and Small Adults ..........................1-24 Safety Belt Extender .....................................1-26 Child Restraints .............................................1-27 Older Children ..............................................1-27 Infants and Young Children ............................1-29 Child Restraint Systems .................................1-33 Where to Put the Restraint .............................1-36  Top Strap ....................................................1-37"
that,find,seat,reference,reference," If you need help ﬁguring out a speciﬁc name of a component, gage, or indicator, reference the following topics:  (cid:127) Seats and Restraint Systems in Section 1  Features and Controls in Section 2  Instrument Panel Overview in Section 3  (cid:127) Climate Controls in Section 3 (cid:127) Warning Lights, Gages, and Indicators in Section 3 (cid:127) Audio System(s) in Section 3 (cid:127) Engine Compartment Overview in Section 5  iv  (cid:127) (cid:127) These are some examples of symbols that may be found on the vehicle:  v  ✍ NOTES  vi  Section 1  Seats and Restraint Systems  Front Seats ......................................................1-2 Power Seats ..................................................1-2 Power Lumbar ...............................................1-2 Heated Seats .................................................1-3 Power Reclining Seatbacks ..............................1-4 Head Restraints .............................................1-5 Rear Seats .......................................................1-5 Rear Seat Operation .......................................1-5 Safety Belts .....................................................1-8 Safety Belts: They Are for Everyone .................1-8 Questions and Answers About Safety Belts ......1-13 How to Wear Safety Belts Properly .................1-14 Driver Position ..............................................1-14 Safety Belt Use During Pregnancy ..................1-20 Right Front Passenger Position .......................1-21 Rear Seat Passengers ..................................1-21 Rear Safety Belt Comfort Guides for  Children and Small Adults ..........................1-24 Safety Belt Extender .....................................1-26 Child Restraints .............................................1-27 Older Children ..............................................1-27 Infants and Young Children ............................1-29 Child Restraint Systems .................................1-33 Where to Put the Restraint .............................1-36  Top Strap ....................................................1-37"
that,find,seat,reference,reference," If you need help ﬁguring out a speciﬁc name of a component, gage, or indicator, reference the following topics:  (cid:127) Seats and Restraint Systems in Section 1  Features and Controls in Section 2  Instrument Panel Overview in Section 3  (cid:127) Climate Controls in Section 3 (cid:127) Warning Lights, Gages, and Indicators in Section 3 (cid:127) Audio System(s) in Section 3 (cid:127) Engine Compartment Overview in Section 5  iv  (cid:127) (cid:127) These are some examples of symbols that may be found on the vehicle:  v  ✍ NOTES  vi  Section 1  Seats and Restraint Systems  Front Seats ......................................................1-2 Power Seats ..................................................1-2 Power Lumbar ...............................................1-2 Heated Seats .................................................1-3 Power Reclining Seatbacks ..............................1-4 Head Restraints .............................................1-5 Rear Seats .......................................................1-5 Rear Seat Operation .......................................1-5 Safety Belts .....................................................1-8 Safety Belts: They Are for Everyone .................1-8 Questions and Answers About Safety Belts ......1-13 How to Wear Safety Belts Properly .................1-14 Driver Position ..............................................1-14 Safety Belt Use During Pregnancy ..................1-20 Right Front Passenger Position .......................1-21 Rear Seat Passengers ..................................1-21 Rear Safety Belt Comfort Guides for  Children and Small Adults ..........................1-24 Safety Belt Extender .....................................1-26 Child Restraints .............................................1-27 Older Children ..............................................1-27 Infants and Young Children ............................1-29 Child Restraint Systems .................................1-33 Where to Put the Restraint .............................1-36  Top Strap ....................................................1-37"
that,find,seat,reference,reference," If you need help ﬁguring out a speciﬁc name of a component, gage, or indicator, reference the following topics:  (cid:127) Seats and Restraint Systems in Section 1  Features and Controls in Section 2  Instrument Panel Overview in Section 3  (cid:127) Climate Controls in Section 3 (cid:127) Warning Lights, Gages, and Indicators in Section 3 (cid:127) Audio System(s) in Section 3 (cid:127) Engine Compartment Overview in Section 5  iv  (cid:127) (cid:127) These are some examples of symbols that may be found on the vehicle:  v  ✍ NOTES  vi  Section 1  Seats and Restraint Systems  Front Seats ......................................................1-2 Power Seats ..................................................1-2 Power Lumbar ...............................................1-2 Heated Seats .................................................1-3 Power Reclining Seatbacks ..............................1-4 Head Restraints .............................................1-5 Rear Seats .......................................................1-5 Rear Seat Operation .......................................1-5 Safety Belts .....................................................1-8 Safety Belts: They Are for Everyone .................1-8 Questions and Answers About Safety Belts ......1-13 How to Wear Safety Belts Properly .................1-14 Driver Position ..............................................1-14 Safety Belt Use During Pregnancy ..................1-20 Right Front Passenger Position .......................1-21 Rear Seat Passengers ..................................1-21 Rear Safety Belt Comfort Guides for  Children and Small Adults ..........................1-24 Safety Belt Extender .....................................1-26 Child Restraints .............................................1-27 Older Children ..............................................1-27 Infants and Young Children ............................1-29 Child Restraint Systems .................................1-33 Where to Put the Restraint .............................1-36  Top Strap ....................................................1-37"
that,find,belt,reference,reference," If you need help ﬁguring out a speciﬁc name of a component, gage, or indicator, reference the following topics:  (cid:127) Seats and Restraint Systems in Section 1  Features and Controls in Section 2  Instrument Panel Overview in Section 3  (cid:127) Climate Controls in Section 3 (cid:127) Warning Lights, Gages, and Indicators in Section 3 (cid:127) Audio System(s) in Section 3 (cid:127) Engine Compartment Overview in Section 5  iv  (cid:127) (cid:127) These are some examples of symbols that may be found on the vehicle:  v  ✍ NOTES  vi  Section 1  Seats and Restraint Systems  Front Seats ......................................................1-2 Power Seats ..................................................1-2 Power Lumbar ...............................................1-2 Heated Seats .................................................1-3 Power Reclining Seatbacks ..............................1-4 Head Restraints .............................................1-5 Rear Seats .......................................................1-5 Rear Seat Operation .......................................1-5 Safety Belts .....................................................1-8 Safety Belts: They Are for Everyone .................1-8 Questions and Answers About Safety Belts ......1-13 How to Wear Safety Belts Properly .................1-14 Driver Position ..............................................1-14 Safety Belt Use During Pregnancy ..................1-20 Right Front Passenger Position .......................1-21 Rear Seat Passengers ..................................1-21 Rear Safety Belt Comfort Guides for  Children and Small Adults ..........................1-24 Safety Belt Extender .....................................1-26 Child Restraints .............................................1-27 Older Children ..............................................1-27 Infants and Young Children ............................1-29 Child Restraint Systems .................................1-33 Where to Put the Restraint .............................1-36  Top Strap ....................................................1-37"
